Calle,Desde,Hasta,Carro y Ruta,Par/Impar/Ambos,Desde,Hasta,Carro y Ruta,Par/Impar/Ambos,Desde,Hasta,Carro y Ruta,Par/Impar/Ambos,Desde,Hasta,Carro y Ruta,Par/Impar/Ambos
GURRUCHAGA,1,1199,429,AMBOS,1901,2099,275,AMBOS,2101,2400,719,AMBOS,,,,
HOLMBERG,701,900,403,AMBOS,,,,AMBOS,,,,,,,,
IBERA,1,299,429,AMBOS,901,999,403,AMBOS,,,,,,,,
INDEPENDENCIA,1,2100,275,AMBOS,,,,,,,,,,,,
IPIRANGA,1,1900,275,AMBOS,,,,,,,,,,,,
IRIARTE GRAL TOMAS DE,1,300,403,AMBOS,,,,,,,,,,,,
IRIGOYEN DOCTOR BERNARDO DE,1,300,719,AMBOS,301,2800,275,AMBOS,,,,,,,,
JOSE MARIA MORENO,301,2500,403,AMBOS,,,,,,,,,,,,
JUNIN,1,2500,719,AMBOS,,,,,,,,,,,,
JURAMENTO,1,2100,275,AMBOS,,,,,,,,,,,,
LA CALANDRIA,401,1599,403,AMBOS,1601,2199,275,AMBOS,2201,3100,719,AMBOS,,,,
LA FLORIDA BAT,1,1600,719,AMBOS,,,,,,,,,,,,
LAGOS GRAL HILARIO,701,800,403,AMBOS,1501,2099,275,AMBOS,2101,2600,719,AMBOS,,,,
LAINEZ MANUEL,401,499,429,AMBOS,701,1100,403,AMBOS,1401,2099,275,AMBOS,2101,2899,719,AMBOS
LAMADRID GRAL ,1,2400,403,AMBOS,,,,,,,,,,,,
LARREA,1,399,429,AMBOS,,,,,,,,,,,,
LEBENSOHN MOISES,1,1100,719,AMBOS,,,,,,,,,,,,
LOPE DE VEGA,1,200,403,AMBOS,,,,,,,,,,,,
LORIA,701,900,403,AMBOS,1401,1900,275,AMBOS,2101,2700,719,AMBOS,,,,
LOS CEIBOS,1,1799,719,AMBOS,,,,,,,,,,,,
LOS FORTINES,1,999,403,AMBOS,,,,,,,,,,,,
LOS JAZMINES,1301,1399,403,AMBOS,,,,,,,,,,,,
LOS OLIVOS,1,999,429,AMBOS,,,,,,,,,,,,
LOS PARAISOS,201,1499,403,AMBOS,1501,2000,275,AMBOS,,,,,,,,
LOS PLATANOS,201,1399,403,AMBOS,1401,1999,275,AMBOS,2001,2899,719,AMBOS,,,,
LOS TROPEROS,2501,2600,719,AMBOS,,,,,,,,,,,,
MADRESELVA,1201,1300,403,AMBOS,,,,,,,,,,,,
MALABIA,1,199,429,AMBOS,1901,2199,275,AMBOS,2201,2899,719,AMBOS,,,,
MANGRULLO,1,299,403,AMBOS,,,,,,,,,,,,
MANSILLA,801,2700,429,AMBOS,,,,,,,,,,,,
MANUELITA ROSAS,601,2200,403,AMBOS,,,,,,,,,,,,
MARCOS PAZ,1,299,429,AMBOS,,,,,,,,,,,,
MARIN PLACIDO,701,899,403,AMBOS,1501,2099,275,AMBOS,2101,2900,719,AMBOS,,,,
MARQUEZ PBTO BARTOLOME,1,999,429,AMBOS,,,,,,,,,,,,
MARTIN RODRIGUEZ,1,2100,275,AMBOS,,,,,,,,,,,,
MATHEU DOMINGO,1501,2099,275,AMBOS,2101,2900,719,AMBOS,,,,,,,,
MATORRAS DE SAN MARTIN GREGORIA,1201,2099,275,AMBOS,2101,2800,719,AMBOS,,,,,,,,
MAZA JUAN AGUSTIN,1,1599,403,AMBOS,1601,2099,275,AMBOS,2201,3100,719,AMBOS,,,,
MEDRANO,1901,2099,275,AMBOS,2101,2900,719,AMBOS,,,,,,,,
MIGUEL CANE,601,2400,403,AMBOS,,,,,,,,,,,,
MONROE,1,2599,429,AMBOS,,,,,,,,,,,,
MONTES DE OCA,601,1900,275,AMBOS,,,,,,,,,,,,
MONTEVIDEO,1701,2800,429,AMBOS,,,,,,,,,,,,
NOVARO BARTOLOME,2401,3100,719,AMBOS,,,,,,,,,,,,
NUESTRAS MALVINAS,601,2300,275,AMBOS,,,,,,,,,,,,
OBARRIO MANUEL A,1,999,429,AMBOS,1901,2099,275,AMBOS,2101,2400,719,AMBOS,,,,
OLAZABAL,1,2700,719,AMBOS,,,,,,,,,,,,
PAGO LARGO BAT DE,301,399,429,AMBOS,701,899,403,AMBOS,1501,2099,275,AMBOS,2101,2899,719,AMBOS
PANAMERICANA,1301,5445,429,IMPAR,1600,4800,403,PAR,,,,,,,,
PARAGUAY,1701,1899,403,AMBOS,,,,,,,,,,,,
PARANA,4401,5699,403,IMPAR,5701,6299,275,IMPAR,6301,7199,719,IMPAR,,,,
PATAGONIA,1,999,429,AMBOS,,,,,,,,,,,,
PEDERNERA,601,2400,403,AMBOS,,,,,,,,,,,,
PEÑALOZA GRAL ANGEL VICENTE,1901,2099,275,AMBOS,,,,,,,,,,,,
PERITO MORENO,701,1599,403,AMBOS,1601,2199,275,AMBOS,2201,3400,719,AMBOS,,,,
PICHINCHA,1,2300,403,AMBOS,,,,,,,,,,,,
PIEDRABUENA,1,999,719,AMBOS,,,,,,,,,,,,
PIEDRABUENA,1001,1899,719,IMPAR,,,,,,,,,,,,
PIÑERO,1201,2700,403,AMBOS,,,,,,,,,,,,
PLUMERILLOS,1401,1900,275,AMBOS,,,,,,,,,,,,
POTOSI,301,699,429,AMBOS,1701,2499,403,AMBOS,,,,,,,,
RAVELO MAESTRA VICENTA,1,999,429,AMBOS,1901,2099,275,AMBOS,2101,2500,719,AMBOS,,,,
RECLUS ELISEO,501,2700,429,AMBOS,,,,,,,,,,,,
REPETTO AGUSTIN,2101,2299,719,AMBOS,,,,,,,,,,,,
RIOJA,601,2200,403,AMBOS,,,,,,,,,,,,
RIVADAVIA COMODORO MARTIN,1,1199,429,AMBOS,1901,2099,275,AMBOS,2101,2500,719,AMBOS,,,,
RIVERA PEDRO IGNACIO DE,1,1599,403,AMBOS,1601,2200,275,AMBOS,,,,,,,,
ROLON AVELINO,1,299,429,AMBOS,601,1399,403,AMBOS,1401,1999,275,AMBOS,2001,2899,719,AMBOS
ROSARIO,1501,2099,275,AMBOS,2401,2599,719,AMBOS,,,,,,,,
RUEDA MAESTRA JUANA,1401,2400,275,AMBOS,2700,2800,429,AMBOS,,,,,,,,
SAENZ DR ANTONIO MARIA,2001,2900,719,AMBOS,,,,,,,,,,,,
SALGUERO,1,299,429,AMBOS,501,899,403,AMBOS,1401,2399,275,AMBOS,,,,
SANTA RITA,1,1399,403,AMBOS,1501,2899,429,AMBOS,,,,,,,,
SARRATEA,1,2700,719,IMPAR,,,,,,,,,,,,
SCALABRINI ORTIZ DR RAUL,1,2099,275,AMBOS,,,,,,,,,,,,
SEGUROLA DR SATURNINO,1,1199,429,AMBOS,1901,2099,275,AMBOS,2101,2700,719,AMBOS,,,,
SERRANO,501,1000,403,AMBOS,1901,2199,275,AMBOS,2201,2900,719,AMBOS,,,,
SILVEYRA ING LUIS,1001,1899,719,AMBOS,,,,,,,,,,,,
SOLDADO DE MALVINAS,1,1399,403,AMBOS,1401,1999,275,AMBOS,2001,2899,719,AMBOS,,,,
SUCRE ,1,699,403,AMBOS,,,,,,,,,,,,
TEJEDOR DR CARLOS,1,1299,403,AMBOS,1501,2799,429,AMBOS,,,,,,,,
TELLECHEA MARIQUITA,1401,2200,275,AMBOS,,,,,,,,,,,,
THAMES JOSE IGNACIO,1,199,429,AMBOS,401,1599,403,AMBOS,1601,2099,275,AMBOS,2401,3499,719,AMBOS
TIRADENTES,601,2000,275,AMBOS,,,,,,,,,,,,
TRIUNFO ARGENTINO,1,100,429,AMBOS,,,,,,,,,,,,
TUPAC AMARU CACIQUE,1,199,429,AMBOS,601,899,403,AMBOS,,,,,,,,
UCRANIA,101,1399,403,AMBOS,1401,1999,275,AMBOS,2001,2900,719,AMBOS,,,,
URIARTE,2001,2900,719,AMBOS,,,,,,,,,,,,
URUGUAY,5201,7300,429,PAR,,,,,,,,,,,,
VERDUGA JOSE MARIA,1,2100,275,AMBOS,,,,,,,,,,,,
VERGARA GDOR DR VALENTIN,1,299,403,AMBOS,1800,2799,429,AMBOS,,,,,,,,
VERTIZ VIRREY JUAN JOSE DE,1,2200,275,AMBOS,,,,,,,,,,,,
VILLEGAS,1101,1200,403,AMBOS,,,,,,,,,,,,
WARNES,1,499,429,AMBOS,,,,,,,,,,,,
WERNICKE ROBERTO,201,2400,403,AMBOS,,,,,,,,,,,,
WILDE DR EDUARDO,1,1599,403,AMBOS,1601,2099,275,AMBOS,2301,3100,719,AMBOS,,,,
YATAY,1,199,275,AMBOS,201,1100,719,AMBOS,,,,,,,,
YERBAL,1,2100,275,AMBOS,,,,,,,,,,,,
